candidate,votes,total expenditures,travel expenses,"compensation of campaigners, etc.",communications,"stationery, printing, and distribution",employment of poll watchers,"rent, maintenance, etc.",political meetings and rallies,pol ads,employment of counsel,copying and classifying list of voters,printing of sample ballots,facebook - number of candidate posts,facebook - total comments,facebook - total shares,facebook - total reactions,win
Gerald Arcega,383749,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,64.0,387.0,0.0
Butch Valdes,367851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,76.0,2834.0,13415.0,0.0
Jesus Caceres,358472,10528.0,495.0,0.0,1295.0,8738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernard Austria,347013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,120.0,808.0,0.0
Balde Baldevarona,310411,520398.88,121101.82,0.0,14754.71,214073.8,0.0,0.0,170468.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emily Mallillin,304215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,42.0,563.0,1688.0,0.0
Charlie Gaddi,286361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,23.0,159.0,0.0
RJ Javellana,258538,94905.7,5034.2,815.2,1800.0,67090.0,0.0,20166.3,0.0,0.0,0.0,0.0,0.0,45.0,88.0,881.0,2795.0,0.0
Junbert Guigayuma,240306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luther Meniano,159774,108696.02,9090.0,0.0,0.0,234.0,0.0,96563.02,2809.0,0.0,0.0,0.0,0.0,15.0,15.0,19.0,55.0,0.0
